Failure Type,Model,Best Params,Best Threshold,F1 (Best Thresh),Precision (Best Thresh),Recall (Best Thresh),F1 (0.5 Thresh),Precision (0.5 Thresh),Recall (0.5 Thresh)
Machine failure,Logistic Regression,"{'C': 1, 'penalty': 'l2'}",0.20852118215190932,0.4999999950040816,0.4861111111111111,0.5147058823529411,0.24096385542168675,0.6666666666666666,0.14705882352941177
Machine failure,Decision Tree,"{'max_depth': 10, 'min_samples_split': 5}",0.8666666666666667,0.7666666617555556,0.8846153846153846,0.6764705882352942,0.7401574803149606,0.7966101694915254,0.6911764705882353
Machine failure,Random Forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.34,0.7538461488568048,0.7903225806451613,0.7205882352941176,0.6727272727272727,0.8809523809523809,0.5441176470588235
TWF,Logistic Regression,"{'C': 1, 'penalty': 'l2'}",0.09024525528174979,0.23076922624260363,0.17647058823529413,0.3333333333333333,0.0,0.0,0.0
TWF,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",0.0,0.008959681344353595,0.0045,1.0,0.0,0.0,0.0
TWF,Random Forest,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.02996988512801273,0.11764705693010381,0.06578947368421052,0.5555555555555556,0.0,0.0,0.0
HDF,Logistic Regression,"{'C': 10, 'penalty': 'l2'}",0.19262668249675266,0.7169811271626914,0.6333333333333333,0.8260869565217391,0.6111111111111112,0.8461538461538461,0.4782608695652174
HDF,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",1.0,0.9090909041012396,0.9523809523809523,0.8695652173913043,0.9090909090909091,0.9523809523809523,0.8695652173913043
HDF,Random Forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.27,0.8636363586466943,0.9047619047619048,0.8260869565217391,0.6857142857142857,1.0,0.5217391304347826
PWF,Logistic Regression,"{'C': 1, 'penalty': 'l1'}",0.43875569760034744,0.9743589693622617,0.95,1.0,0.8571428571428571,0.9375,0.7894736842105263
PWF,Decision Tree,"{'max_depth': 10, 'min_samples_split': 2}",1.0,0.8499999950125001,0.8095238095238095,0.8947368421052632,0.85,0.8095238095238095,0.8947368421052632
PWF,Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6014535749403006,0.8823529362456748,1.0,0.7894736842105263,0.8333333333333334,0.8823529411764706,0.7894736842105263
OSF,Logistic Regression,"{'C': 1, 'penalty': 'l1'}",0.5509946438683622,0.9743589693622617,1.0,0.95,0.9743589743589743,1.0,0.95
OSF,Decision Tree,"{'max_depth': None, 'min_samples_split': 2}",1.0,0.7027026977355736,0.7647058823529411,0.65,0.7027027027027027,0.7647058823529411,0.65
OSF,Random Forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.22,0.7999999950000002,0.8,0.8,0.6206896551724138,1.0,0.45
RNF,Logistic Regression,"{'C': 0.01, 'penalty': 'l1'}",0.0039028015643363246,0.023809522902494367,0.0125,0.25,0.0,0.0,0.0
RNF,Decision Tree,"{'max_depth': 3, 'min_samples_split': 2}",0.0016220600162206002,0.006802721020639549,0.0034129692832764505,1.0,0.0,0.0,0.0
RNF,Random Forest,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.008525841491866174,0.12499999625000012,0.08333333333333333,0.25,0.0,0.0,0.0
